post_id	post_text	post_published	comment_id	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681957915725	"President Trump, with all the danger you are in, the efforts of the deep state to take you out of office, all the lies, slander, hatred for you by the global elites, Hollywood , MSM & by the misinformed people that believe the fake news etc...I just want you to know that you are loved & that I pray for you daily!"	2017-08-17T18:57:03+0000	5635
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681962680725	"As a Indian watching it baffles me how democrats can bag on this 70 year old man that's done more for his country in 5 months than has been done by the previous POTUS after 8 years in office! Mind boggling how brainwashed you liberals are!"	2017-08-17T18:58:10+0000	2427
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681958140725	"FACT: Michael Singer, the corrupt Mayor of  Charlottesville, worked for the Soros organization, before taking office. No wonder he ordered the police to stand down and let the chaos take over! I have ZERO respect for the Democrats and what they stand for. Your ancestors, created the KKK and all those confederate statues, that you're now tearing down! Once again trying to cover your tracks. 🖕🏼"	2017-08-17T18:57:07+0000	804
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681959375725	"If you're looking to get rid of all reminders of our past, I am here to help. $1 Washington - slave owner $2 Jefferson - slave owner $5 Lincoln - did not necessarily agree with slavery, but didn't agree that blacks were equal $10 Hamilton - slave owner $20 Jackson - slave owner $50 Grant - slave owner $100 Franklin - affiliation with slave trade Dig into your wallets and grab all of these offensive symbols and send them to me. I'm here to help you begin the healing process. IM for address."	2017-08-17T18:57:26+0000	1099
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681960840725	"That was really fast. Wish you'd come out this fast when it's white supremacist terrorists committing murder."	2017-08-17T18:57:41+0000	803
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681959545725	"KKK: - Founded by Democrats - wears all white outfit - carries a self made flag - has rallies with members who show up with weapons - violently attacks people with a different point of view then their own - chants demands to be heard - refuses to have a debate  Antifa: - founded by Democrats - wears all Black Outfits - Carries a Self Made Flag - has rallies with members who show up with weapons - Violently attacks anyone with a different point of view then their own - chants demands to be heard - refuses to have a debate  Black Lives Matter: - Founded by Democrats - wears all black or military outfits - carries a self made banner flag - has rallies with members who show up with weapons - violently attacks anyone with a different point of view then their own - chants demands to be heard - refuses to have a debate  ISIS - Founded by Democrats - wears all white or military outfits - carries a self made banner flag - has rallies with members who show up with weapons - violently attacks anyone with a different point of view then their own - chants demands to be heard - refuses to have a debate"	2017-08-17T18:57:29+0000	364
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681962105725	"Less then two hours. I thought you needed two days to gather all the facts? Not the same when your cronies are doing the killing in Charlottesville."	2017-08-17T18:58:01+0000	439
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_760621084110401	"Don't wait for the facts just condemn unlike you did as POTUS here in Charlottesville. Why can't you get anything right? I know it's because your unqualified and uneducated on the history of our country. Time to set some written credentials for all future presidents so we DON'T get another one like you, clueless."	2017-08-17T19:06:49+0000	237
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681991850725	"Well Trump ole boy, I'm shocked you didn't blame the victims too.  I'm shocked you didnt say the problem was on both sides and should be condemned.  I mean they were in the street, in the area.  Shopping and eating.  They were part of the problem.  And when it's Muslims of course it's terrorist but you can drive a car into people here in America and you just view that as a good ole boy fight."	2017-08-17T19:03:29+0000	241
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681966235725	"While this was a terrorist attack and is sad and unacceptable, Virginia was also a terrorist attack with the exact same manor of attack. That took you two days and you still have yet to really call it a terrorist attack."	2017-08-17T18:58:51+0000	241
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681976045725	"Why not condemn the terror attacks right here at home first?!  Hypocrite!"	2017-08-17T19:00:42+0000	104
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_468836876816846	"the man makes a simple statement of respect for another county and the haters show up, what is wrong with you people"	2017-08-17T19:06:10+0000	142
153080620724_10159681956685725	"The United States condemns the terror attack in Barcelona  Spain  and will do whatever is necessary to help. Be tough & strong  we love you!"	2017-08-17T18:56:38+0000	10159681956685725_10159681977540725	"Too bad the U.S won't do whatever is necessary to help with the terrorist in our own backyard. How about we bring the KKK terrorist cell down and make any of their props illegal. Stop letting the terrorists march in our own states. We wouldn't let Isis march up and down our streets why do we let white supremacist groups do it?"	2017-08-17T19:00:58+0000	70
